"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-02-28,"austin",2,"Flu ED visits pct",2026-03-14,"quantile",0.9,4.89074574574575
2026-02-28,"austin",2,"Flu ED visits pct",2026-03-14,"quantile",0.95,5.77751551551552
2026-02-28,"austin",2,"Flu ED visits pct",2026-03-14,"quantile",0.975,6.40389814814815
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.025,0.425936186186186
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.05,0.913533533533533
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.1,1.8437947947948
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.25,2.82966966966967
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.5,3.5
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.75,4.18296046046046
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.9,5.251995995996
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.95,6.08292492492492
2026-02-28,"austin",3,"Flu ED visits pct",2026-03-21,"quantile",0.975,6.65082007007007
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,0
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,0
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,0.10290990990991
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,0.729962462462462
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,0.8
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.75,0.870037537537538
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.9,1.49709009009009
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.95,2.271
2026-02-28,"baltimore",0,"Flu ED visits pct",2026-02-28,"quantile",0.975,2.911
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.025,0
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.05,0
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.1,0
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.25,0.418490990990991
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.5,0.8
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.75,1.1875
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.9,2.1791971971972
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.95,2.86321921921922
2026-02-28,"baltimore",1,"Flu ED visits pct",2026-03-07,"quantile",0.975,3.32854404404404
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.025,0
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.05,0
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.1,0
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.25,0.190970970970971
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.5,0.8
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.75,1.43345595595596
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.9,2.59029029029029
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.95,3.08002352352352
2026-02-28,"baltimore",2,"Flu ED visits pct",2026-03-14,"quantile",0.975,3.83369169169169
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.025,0
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.05,0
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.1,0
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.25,0.00878878878878899
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.5,0.8
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.75,1.64263263263263
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.9,2.76706606606606
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.95,3.5822012012012
2026-02-28,"baltimore",3,"Flu ED visits pct",2026-03-21,"quantile",0.975,4.2724084084084
2026-02-28,"bangor",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,0
