"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.025,0
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.05,0.91
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.1,1.82
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.25,2.54
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.5,2.65
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.75,2.76
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.9,3.48
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.95,4.39
2026-03-07,"athens",0,"Flu ED visits pct",2026-03-07,"quantile",0.975,6.28625
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.025,0
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.05,0
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.1,1.1684024024024
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.25,2.26891141141141
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.5,2.65
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.75,3.04529279279279
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.9,4.08835635635636
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.95,6.25145995995996
2026-03-07,"athens",1,"Flu ED visits pct",2026-03-14,"quantile",0.975,7.09477227227227
2026-03-07,"athens",2,"Flu ED visits pct",2026-03-21,"quantile",0.025,0
2026-03-07,"athens",2,"Flu ED visits pct",2026-03-21,"quantile",0.05,0
2026-03-07,"athens",2,"Flu ED visits pct",2026-03-21,"quantile",0.1,0.362755755755756
2026-03-07,"athens",2,"Flu ED visits pct",2026-03-21,"quantile",0.25,1.9137012012012
2026-03-07,"athens",2,"Flu ED visits pct",2026-03-21,"quantile",0.5,2.65
2026-03-07,"athens",2,"Flu ED visits pct",2026-03-21,"quantile",0.75,3.34181181181181
